,quality
1040,5
854,6
322,5
1514,6
1045,6
1344,5
613,5
1311,6
819,5
1305,5
775,5
838,7
1593,6
523,5
484,6
1380,6
166,5
1395,6
351,6
1326,6
1508,6
1188,5
41,4
378,6
1434,6
1245,5
837,7
654,5
1095,5
391,6
299,5
1458,5
913,7
319,6
816,6
1372,5
1267,6
1014,6
830,4
214,6
1407,6
1563,5
444,7
870,6
1545,6
967,5
1561,5
1261,4
13,5
312,6
473,5
267,8
1206,7
840,7
643,5
962,5
1056,7
1144,5
1325,6
362,5
221,5
353,5
68,5
1237,6
1392,5
298,5
113,6
451,6
45,4
19,6
1086,7
153,5
334,7
687,5
882,6
159,6
1002,7
1230,6
1136,6
412,5
894,6
824,5
314,5
903,7
1388,5
892,6
579,6
968,6
218,5
1270,6
195,5
4,5
102,6
251,6
458,7
233,5
1446,5
966,7
536,5
461,5
846,5
413,7
773,6
75,5
1516,5
1354,5
1275,6
572,5
1271,6
589,7
96,5
1552,6
402,6
514,7
472,6
177,6
508,6
333,5
927,4
1568,5
107,5
673,5
884,6
1101,6
662,6
1020,6
845,5
1309,5
260,5
1160,7
561,5
48,5
764,6
803,6
805,7
566,6
372,6
734,5
1084,6
1498,6
1461,4
712,5
705,5
1076,6
953,7
763,5
1573,6
441,6
1499,6
440,8
430,7
313,5
1352,5
495,8
74,5
1102,6
1465,5
1351,6
149,6
886,6
190,5
835,5
397,6
1210,6
943,7
1013,6
1565,6
1069,5
1071,5
521,5
1125,7
330,6
578,5
1034,6
1256,5
1495,6
610,5
647,4
570,6
496,6
707,5
1081,7
709,6
389,7
1469,3
601,6
1439,6
1258,6
522,5
937,4
1559,5
844,6
448,6
1410,6
600,4
25,5
1396,5
273,5
344,6
180,5
1420,5
44,5
788,6
1494,7
642,5
1389,5
460,6
255,5
1276,4
963,6
1127,6
833,4
394,5
1382,5
1087,6
879,5
1197,6
755,6
1003,7
515,5
633,4
588,8
1355,5
97,5
419,5
779,5
516,6
1542,6
616,5
518,6
1547,5
1503,6
545,5
338,6
594,5
658,6
761,5
540,5
930,5
904,7
295,5
1582,5
817,6
121,6
1340,6
1248,6
36,6
1459,7
22,5
11,5
1129,6
1518,5
109,5
1053,7
789,5
429,6
1198,6
1306,5
890,5
1442,5
228,6
1399,6
996,7
774,6
1393,5
1327,6
1307,4
1264,6
1280,6
797,7
641,5
507,6
1089,7
37,7
972,7
399,5
421,7
691,5
792,6
852,5
1083,6
533,6
126,5
584,7
23,5
539,5
142,6
5,5
791,5
182,5
1406,6
58,5
1092,6
69,6
553,5
489,6
1199,6
364,7
424,5
355,6
434,6
855,7
1489,6
1259,6
1468,7
1015,6
320,7
728,5
813,4
1452,7
1564,5
288,7
1510,6
433,5
710,5
1440,7
1435,6
1571,6
162,6
206,7
1567,5
21,5
785,5
160,5
857,7
88,5
1114,6
695,6
832,3
187,5
305,6
1342,6
1412,6
1253,5
497,5
804,6
778,5
1425,6
477,6
124,5
1186,5
1580,6
483,5
1541,7
67,5
664,5
529,5
639,6
1536,6
52,6
24,6
456,5
1105,5
1310,5
40,5
815,5
59,6
1437,5
32,5
375,7
893,5
499,6
1278,6
592,5
598,6
911,6
302,5
841,5
1008,7
692,5
400,5
950,7
1526,6
1213,6
604,6
1447,5
938,7
1113,6
17,5
696,6
701,6
1007,7
1500,5
964,6
812,5
959,5
1279,7
969,5
377,7
648,7
1512,6
1057,5
562,5
1059,7
1272,5
244,7
1139,6
208,5
982,6
289,5
1481,5
1149,6
1048,6
1598,6
1012,5
1321,6
1180,6
582,5
87,5
1416,5
1534,7
127,5
1502,5
1215,6
491,7
1287,5
479,6
657,7
1560,5
469,5
1062,6
1473,5
249,6
465,5
1597,5
1515,6
676,6
667,6
1483,5
595,5
156,5
850,5
1121,6
1496,5
587,5
258,5
864,5
205,7
1594,5
134,6
327,5
576,4
427,6
480,5
234,6
89,5
586,7
349,6
1540,6
1304,5
278,8
856,6
1204,7
1531,5
1265,6
1320,5
1332,6
825,5
138,5
61,5
941,7
865,5
1462,6
1091,6
688,5
294,6
224,4
178,5
909,6
999,6
1049,6
242,6
123,5
1470,5
130,5
211,6
986,7
981,5
1346,5
1511,5
1158,6
105,5
719,5
783,5
1411,6
912,6
580,5
1589,5
885,5
1375,5
231,6
543,6
1537,6
405,6
826,7
1449,8
1402,6
1131,5
179,5
317,6
1424,6
354,6
247,5
1177,7
915,6
573,4
906,5
1031,7
925,7
76,5
347,6
1195,6
311,6
590,5
742,5
1386,5
297,5
1300,6
506,7
1592,6
544,6
94,4
384,5
115,6
1143,6
250,6
201,5
510,5
1591,6
603,6
1362,6
1238,4
717,5
184,6
839,5
245,6
1579,5
546,6
1539,5
1096,6
1441,6
513,7
1408,7
714,5
575,6
748,6
1509,5
1381,5
83,5
57,5
1576,6
1235,4
665,5
117,6
1501,5
99,6
809,6
732,5
1415,5
80,5
901,7
1132,7
1566,6
226,6
931,5
939,5
1529,6
1367,6
1454,6
300,6
60,5
542,5
1475,7
1018,6
207,5
946,7
210,6
933,5
1436,5
509,7
979,5
241,6
567,6
867,6
131,5
1046,6
698,5
500,6
860,5
1294,6
1231,5
1460,6
1032,5
1353,5
73,4
1115,6
443,7
55,5
842,6
1555,7
626,5
1292,6
1330,6
1464,5
1016,7
165,5
7,7
219,5
1350,5
